playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,72yOVhxkfd9lgp4Q0EaJTK,Like I Do,0.126,0.751,170000,0.65,0.0000178,1,0.161,-6.212,0,0.046,119.983,4,0.485,0.58,0.609,0.85,1,0,167.31139,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0Utg7sirTPqrs6Cx0FbriQ,Chillin' It,0.511,0.576,196747,0.849,0.0000389,9,0.109,-3.057,1,0.0386,137.982,4,0.666,0.657,0.567,0.843,0.817,1.07102,191.51237,Energetic
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,7H0ya83CMmgFcOhw0UB6ow,Space Song,0.229,0.508,320467,0.792,0.124,0,0.145,-7.311,0,0.0297,147.067,4,0.601,0.203,0.535,0.938,1,3.96481,306.42212,Sad
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),0.0689,0.632,167903,0.595,0,8,0.209,-7.644,0,0.0401,124.114,4,0.435,0.726,0.671,0.656,1,0,164.94295,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,1A6gT680oQr98VtDkNzys7,24/5,0.403,0.559,158221,0.763,0,0,0.127,-4.16,1,0.105,91.069,4,0.349,0.483,0.602,0.593,0.938,0.20331,149.2811,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6naYpFIKihKbGg6lGxpveI,Backroad Song,0.0352,0.488,236787,0.833,0.0172,11,0.34,-6.571,1,0.0437,174.006,4,0.751,0.727,0.659,0.727,0.782,0.24281,222.5981,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,3LJ7dXJzZ2umb3Ccsuq5fT,Catching Eyes,0.854,0.678,249534,0.594,0.00264,6,0.133,-12.482,0,0.24,125.892,4,0.144,0.691,0.801,0.563,1,0,243.03746,Chill
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,2nM7VjLc9rkb9c0WzoiwOA,hold somebody (feat. powfu & sarcastic sounds),0.547,0.623,163727,0.621,0,6,0.336,-6.263,0,0.0538,148.087,4,0.2,0.373,0.531,0.152,0.981,0,154.74358,Sad
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,0.337,0.576,257720,0.835,0,2,0.082,-6.826,1,0.0486,150.017,4,0.476,0.536,0.569,0.28,0.165,2.72834,247.11836,Sad
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,05GvwwTLLID738BbKN1ze0,Because You Move Me,0.691,0.789,196375,0.435,0.0418,2,0.107,-9.506,0,0.149,122.995,4,0.166,0.131,0.351,0.869,1,0,196.37502,Chill
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,5411TEB6tlzvuF5A4oyldr,Francis Forever,0.00262,0.535,149680,0.448,0.0000194,2,0.115,-9.167,1,0.0279,101.986,4,0.32,0.559,0.656,0.239,0.509,0.34236,134.72218,Sad
